id,symbol,image_location
929,dog_bed,0
930,dog_biscuits,0
931,dog_chew,0
932,dog_coat,0
933,dog_food,0
934,dog_kennel,0
935,doidy_cup,0
936,doll,0
937,dolphin,0
938,donkey,0
939,door,0
940,door_2,0
941,double_bed,0
942,doughnut,0
943,dove,0
944,down,0
945,download,0
946,dragonfly,0
947,draining_board,0
948,drama,0
949,drama_class,0
950,drawer,0
951,drawing_pin,0
952,dress,0
953,dresser,0
954,dressing_gown,0
955,dressing_table,0
956,dribble_football,0
957,drill_bit,0
958,drill_electric,0
959,drink,0
960,drink,0
961,drink_cold,0
962,drink_cold_2,0
963,drink_consistency_firm_spoon,0
964,drink_consistency_honey_cup,0
965,drink_consistency_juice_straw,0
966,drink_hot,0
967,drink_hot_2,0
968,drink_large,0
969,drink_medium,0
970,drink_small,0
971,drinks,0
972,dropper_pipette,0
973,drum,0
974,drumsticks,0
975,dry,0
976,dry_face,0
977,dry_hair,0
978,dry_hair_2,0
979,dry_hands,0
980,dry_hands_2,0
981,duck,0
982,dumper_truck,0
983,dust,0
984,dvd_player,0
985,dvd_player_portable,0
986,dysphagia_cup,0
987,dysphagia_cup_2,0
988,dysphagia_cup_3,0
989,e,0
990,e_lower_case,0
991,ear,0
992,ear_muffs,0
993,earrings,0
994,earth,0
995,earth_crust,0
996,earth_inner_core,0
997,earth_mantle,0
998,earth_outer_core,0
999,earths_atmosphere,0
1000,earthworm,0
1001,earwig,0
1002,east,0
1003,easter_egg,0
1004,easter_egg_hunt,0
1005,egg,0
1006,egg_boiled,0
1007,egg_cup,0
1008,egg_fried,0
1009,egg_on_toast,0
1010,egg_white,0
1011,egg_yolk,0
1012,eggs,0
1013,eggs_scrambled,0
1014,eight,0
1015,eight_dots,0
1016,eighteen,0
1017,eighth,0
1018,eighty,0
1019,either,0
1020,elbow,0
1021,elearning,0
1022,elephant,0
1023,eleven,0
1024,elf,0
1025,emagazine,0
1026,email,0
1027,email_attachment,0
1028,email_send,0
1029,emery_board,0
1030,empty,0
1031,energy_monitor,0
1032,engine,0
1033,english,0
1034,english_class,0
1035,enough,0
1036,enter,0
1037,enter_door,0
1038,envelope,0
1039,escalator,0
1040,even,0
1041,every,0
1042,excited_lady,0
1043,excited_man,0
1044,exercise,0
1045,exit,0
1046,exit_door,0
1047,extension_lead,0
1048,extra,0
1049,extra_2,0
1050,extra_large,0
1051,eye,0
1052,eye_drops,0
1053,eye_shadow,0
1054,eyebrow,0
1055,eyebrow_bushy,0
1056,eyebrow_pencil,0
1057,eyelash,0
1058,eyelash_curler,0
1059,eyes,0
1060,eyes_blue,0
1061,eyes_brown,0
1062,eyes_closed,0
1063,eyes_green,0
1064,f,0
1065,f_lower_case,0
1066,fabric,0
1067,face_neutral_3,0
1068,fairy,0
1069,family,0
1070,family_2,0
1071,fancy,0
1072,fangs,0
1073,farmer_1a,0
1074,farmer_1b,0
1075,farmer_2a,0
1076,farmer_2b,0
1077,fast_2,0
1078,fat,0
1079,father_christmas,0
1080,father_christmas_sack,0
1081,fats,0
1082,fats_high,0
1083,fats_low,0
1084,favourite,0
1085,fax_machine,0
1086,feather,0
1087,features_facial,0
1088,feed_cat,0
1089,feed_dog,0
1090,feet,0
1091,felt_tips,0
1092,female_body,0
1093,female_side,0
1094,fennel,0
1095,ferret,0
1096,ferry,0
1097,fibre_optic_lamp,0
1098,field,0
1099,fifteen,0
1100,fifty,0
1101,fifty_percent,0
1102,fig,0
1103,file,0
1104,file_nails,0
1105,filing_cabinet,0
1106,filter_paper,0
1107,fin,0
1108,finger,0
1109,finger_painting,0
1110,finger_puppet,0
1111,fingernail,0
1112,fingernails,0
1113,fingers,0
1114,finish,0
1115,fir_tree,0
1116,fire,0
1117,fire_engine,0
1118,fire_helmet,0
1119,fire_hose,0
1120,fireplace,0
1121,fireworks,0
1122,fireworks_2,0
1123,first,0
1124,first_2,0
1125,first_aid_box,0
1126,first_base,0
1127,fish,0
1128,fish,0
1129,fish_and_chips,0
1130,fish_battered,0
1131,fish_burger,0
1132,fish_deep_fried,0
1133,fish_food,0
1134,fish_koi_carp,0
1135,fish_tank,0
1136,fish_tropical,0
1137,fist,0
1138,five,0
1139,five_dots,0
1140,flag_aboriginal_peoples,0
1141,flag_abu_dhabi_uae,0
1142,flag_afghanistan,0
1143,flag_african_union,0
1144,flag_ajman_dubia_uae,0
1145,flag_aland_islands_finland,0
1146,flag_alaska,0
1147,flag_albania,0
1148,flag_alderney,0
1149,flag_algeria,0
1150,flag_american_samoa,0
1151,flag_andorra,0
1152,flag_angola,0
1153,flag_anguilla,0
1154,flag_antartica,0
1155,flag_antigua_barbuda,0
1156,flag_argentina,0
1157,flag_armenia,0
1158,flag_aruba,0
1159,flag_asean,0
1160,flag_austria,0
1161,flag_azerbaijan,0
1162,flag_bahrain,0
1163,flag_bangladesh,0
1164,flag_barbados,0
1165,flag_belarus,0
1166,flag_belgium,0
1167,flag_belize,0
1168,flag_benin,0
1169,flag_bermuda,0
1170,flag_bhutan,0
1171,flag_blank,0
1172,flag_bolivia,0
1173,flag_bonaire_dutch_antillies,0
1174,flag_bosnia_herzegovina,0
1175,flag_botswana,0
1176,flag_brazil,0
1177,flag_brunei,0
1178,flag_bulgaria,0
1179,flag_burkina_faso,0
1180,flag_burundi,0
1181,flag_cambodia,0
1182,flag_cameroon,0
1183,flag_canada,0
1184,flag_canary_islands,0
1185,flag_cape_verde,0
1186,flag_caricom,0
1187,flag_cayman_islands,0
1188,flag_central_african_republic,0
1189,flag_chad,0
1190,flag_chile,0
1191,flag_china,0
1192,flag_colombia,0
1193,flag_comoros,0
1194,flag_congo_brazzaville,0
1195,flag_congo_kinshasa,0
1196,flag_cook_islands,0
1197,flag_costa_rica,0
1198,flag_croatia,0
1199,flag_cuba,0
1200,flag_cyprus,0
1201,flag_denmark,0
1202,flag_djibouti,0
1203,flag_dominica,0
1204,flag_dominican_republic,0
1205,flag_ecuador,0
1206,flag_egypt,0
1207,flag_el_salvador,0
1208,flag_england,0
1209,flag_equatorial_guinea,0
1210,flag_eritrea,0
1211,flag_estonia,0
1212,flag_ethiopia,0
1213,flag_european_union,0
1214,flag_falkland_islands,0
1215,flag_fiji,0
1216,flag_finland,0
1217,flag_france,0
1218,flag_fujairah_uae,0
1219,flag_gabon,0
1220,flag_georgia,0
1221,flag_germany,0
1222,flag_ghana,0
1223,flag_gibraltar,0
1224,flag_greece,0
1225,flag_greenland,0
1226,flag_grenada,0
1227,flag_guam,0
1228,flag_guernsey,0
1229,flag_guinea,0
1230,flag_guinea_bissau,0
1231,flag_guyana,0
1232,flag_haiti,0
1233,flag_hawaii,0
1234,flag_honduras,0
1235,flag_hong_kong_china,0
1236,flag_hungary,0
1237,flag_iceland,0
1238,flag_india,0
1239,flag_indonesia,0
1240,flag_iran,0
1241,flag_iraq,0
1242,flag_ireland,0
1243,flag_isle_of_man,0
1244,flag_israel,0
1245,flag_italy,0
1246,flag_ivory_coast,0
1247,flag_jamaica,0
1248,flag_japan,0
1249,flag_jersey,0
1250,flag_jordan,0
1251,flag_kazakhstan,0
1252,flag_kenya,0
1253,flag_kiribati,0
1254,flag_kosovo,0
1255,flag_kuwait,0
1256,flag_kyrgyzstan,0
1257,flag_laos,0
1258,flag_latvia,0
1259,flag_lebanon,0
1260,flag_lesotho,0
1261,flag_liberia,0
1262,flag_libya,0
1263,flag_liechtenstein,0
1264,flag_lithuania,0
1265,flag_luxembourg,0
1266,flag_macedonia,0
1267,flag_madagascar,0
1268,flag_malawi,0
1269,flag_malaysia,0
1270,flag_maldives,0
1271,flag_mali,0
